Date,Session,Check-in,Check-out,Session Duration,Project Number,Allocated Time,Daily Total
2025-01-15,Morning,08:00,12:00,4.00,PRJ-1001,4.00,8.50
2025-01-15,Afternoon,13:00,17:30,4.50,PRJ-3001,4.50,8.50
2026-05-25,Morning,08:00,12:00,4.00,a,2.00,9.00
2026-05-25,Morning,08:00,12:00,4.00,b,2.00,9.00
2026-05-25,Afternoon,13:00,18:00,5.00,g,1.67,9.00
2026-05-25,Afternoon,13:00,18:00,5.00,b,1.67,9.00
2026-05-25,Afternoon,13:00,18:00,5.00,a,1.66,9.00
2026-05-25,Morning,08:00,12:00,4.00,a,2.00,9.50
2026-05-25,Morning,08:00,12:00,4.00,z,2.00,9.50
2026-05-25,Afternoon,13:30,19:00,5.50,a,5.50,9.50
